"","model","R2","age","age_class","OOS_R2","OOS_rmse","rmse","ln_post","lnL_LOO","df","age class","rho","species"
"1","fithieraggR2",0.623292812916613,"all","all",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","fithieraggR2KRFC",0.706380078934985,"all","all",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","KRFC_Hier",0.965798769712176,"1",NA,0.559054692599493,11439.0307526145,3185.79428885038,NA,NA,NA,"1",NA,NA
"4","KRFC_Hier",0.98403438912457,"2",NA,0.679946171956986,31528.8178364168,7041.88525936576,NA,NA,NA,"2",NA,NA
"5","KRFC_Hier",0.966972037034104,"3",NA,0.426511723061757,25499.5053628196,6119.42164445749,NA,NA,NA,"3",NA,NA
"6","KRFC_Hier",0.973648993124006,"4",NA,0.34324336420386,1587.60609047559,318.008793165627,NA,NA,NA,"4",NA,NA
"7","SB_Hier",0.28899345753273,"1",NA,0.00361495928216182,54.8280494650764,46.3154614223499,NA,NA,NA,"1",NA,NA
"8","SB_Hier",0.545840933855376,"2",NA,0.191501137955173,90.3722964018446,67.7328898993488,NA,NA,NA,"2",NA,NA
"9","SB_Hier",0.475462762786717,"3",NA,0.156439415921693,75.2219103962253,59.3163448948029,NA,NA,NA,"3",NA,NA
"10","SB_Hier",0.6611524501626,"4",NA,0.451088268507018,70.0904275158474,55.0693090457404,NA,NA,NA,"4",NA,NA
"11","SB_Hier",0.580346537100087,"5",NA,0.304364221618464,32.7455008914204,25.4334975982758,NA,NA,NA,"5",NA,NA
"12","SB_Hier",0.479377241680324,"6",NA,0.22226809363199,40.8861943518482,33.4520937327146,NA,NA,NA,"6",NA,NA
"13","SB_Hier",0.610302440983464,"7",NA,0.255435431842929,19.3266105571686,13.9819696616648,NA,NA,NA,"7",NA,NA
"14","SB_Hier",0.489265340025594,"8",NA,0.310860831494811,19.8915418146951,17.1242928178672,NA,NA,NA,"8",NA,NA
"15","SB_Hier",0.640252187528448,"9",NA,0.450254411941724,3.78080017436364,3.05845383038285,NA,NA,NA,"9",NA,NA
"16","SB_Hier",0.64778789549366,"10",NA,0.383186355633068,2.88634933186205,2.181092301176,NA,NA,NA,"10",NA,NA
"17","SB_Hier",0.51666214223585,"11",NA,0.200299001272013,2.17454630347394,1.69055866846988,NA,NA,NA,"11",NA,NA
"18","SB_Hier",0.607618857317232,"12",NA,0.367841291416706,1.37716913697288,1.08499636356821,NA,NA,NA,"12",NA,NA
"19","SB_Hier",0.405955505642745,"13",NA,-0.00713441132971782,0.615383392953927,0.472619397336907,NA,NA,NA,"13",NA,NA
"20","SB_Hier",0.236362169940959,"14",NA,-0.0714179450782977,0.274098370717095,0.23140392095343,NA,NA,NA,"14",NA,NA
"21","KRFC_indvAge",0.954022400782098,"1",NA,-0.259654963859893,25530.7402353693,1449.80310098081,-6.36984796286666,5.17883317814477,6.39441138594821,"1",NA,NA
"22","KRFC_indvAge",0.990220738010313,"2",NA,-0.00218204368668751,63924.387591783,4648.59411722973,-7.85511774382106,3.4793589519166,7.82023215904839,"2",NA,NA
"23","KRFC_indvAge",0.988857030870504,"3",NA,-2.29711438876613,56148.9403281724,3755.82966386481,-8.74148004249945,4.05534173017027,7.57796820897539,"3",NA,NA
"24","KRFC_indvAge",0.947458818114422,"4",NA,-0.52420964171292,2634.00716910492,402.788956877474,-5.9554348666265,4.32746162095194,4.29715186069508,"4",NA,NA
"25","SB_indvAge",0.922549909160055,"1",NA,-2.26405354383915,61.056405845031,19.1133588917632,-11.8170472375892,-4.81517346777511,5.24348885762609,"1",NA,NA
"26","SB_indvAge",0.857830093937018,"2",NA,-1.28856138358975,125.650951490531,32.8701362448355,-6.17190691225376,3.28047965224075,3.53249132559248,"2",NA,NA
"27","SB_indvAge",0.756776681880682,"3",NA,-7.65496070380285,182.619153386722,39.6739962501171,-7.63692493224365,0.303441753262753,2.96586072982626,"3",NA,NA
"28","SB_indvAge",0.992332804945,"4",NA,-1.04242111763082,136.585433184253,8.20545716393887,-8.52733103476976,4.22403977201546,7.38061344904906,"4",NA,NA
"29","SB_indvAge",0.712218534060698,"5",NA,-0.709107858940613,60.9206556677621,16.3621823424009,-8.0326037124798,0.0345109421224397,3.14511422872634,"5",NA,NA
"30","SB_indvAge",0.583250507690073,"6",NA,-0.0770943615335065,55.0746723404144,24.9115122291722,-11.7004726649179,-5.48053004324014,4.05630221789184,"6",NA,NA
"31","SB_indvAge",0.981428557088736,"7",NA,0.252142399406167,24.7528267654159,1.98199870586495,-9.71021799006238,1.70630785936523,7.57786164810693,"7",NA,NA
"32","SB_indvAge",0.937534973042247,"8",NA,-0.431131362374747,36.6880706911306,3.87847383187547,-9.614721177974,-0.110482181130281,5.36829857775813,"8",NA,NA
"33","SB_indvAge",0.818169683068458,"9",NA,-0.910071296088972,5.97099208621875,2.43437460156246,-11.4448203481501,-4.26111105464232,5.17809695691985,"9",NA,NA
"34","SB_indvAge",0.816851238278763,"10",NA,-0.700103884988574,5.55777810664095,1.17072516476878,-11.4483585058781,-4.93358709485511,4.61319626186562,"10",NA,NA
"35","SB_indvAge",0.666099134854557,"11",NA,-0.0105042542071809,3.17174802859719,0.770306627441497,-12.1486561827706,-6.65960873918496,4.34564363378083,"11",NA,NA
"36","SB_indvAge",0.743088037918457,"12",NA,0.00766854580290777,2.19549329328312,0.543667827427405,-12.3856568892835,-6.66702815559853,4.91238253338719,"12",NA,NA
"37","SB_indvAge",0.819594355627338,"13",NA,-0.702041309805254,0.956265178240365,0.0906921248898968,-12.7342693854973,-6.31595321798884,5.758867027267,"13",NA,NA
"38","KRFC_mixedAge",0.979820204099764,"1",NA,0.154954903528804,0.992565026864769,0.153383064488918,-15.2996646597422,-4.47315874407598,15.0444817850311,"1",NA,NA
"39","KRFC_mixedAge",0.915726472477204,"2",NA,0.317003998867439,0.776469116881224,0.272747446217779,-7.19149368754946,3.40612713223135,8.30623600083965,"2",NA,NA
"40","KRFC_mixedAge",0.998437976157086,"3",NA,0.650491912414271,0.504487211701753,0.0337260419775504,-4.2568846516394,12.5873480685867,8.91722807195076,"3",NA,NA
"41","KRFC_mixedAge",0.825792948665019,"4",NA,0.353550684631137,0.793738487231155,0.412043496786072,-12.8253322190301,-3.83838729096465,7.92788842825614,"4",NA,NA
"42","SB_mixedAge",0.996915358574822,"1",NA,0.50099323715097,0.781735248807699,0.0614623020411034,-13.9164690883811,3.06387898986116,17.1532784085141,"1",NA,NA
"43","SB_mixedAge",0.996005611803228,"2",NA,0.761060423927216,0.468696828080203,0.0606000670769878,-6.06250752852784,13.3652088757688,15.8705042482704,"2",NA,NA
"44","SB_mixedAge",0.973391062564653,"3",NA,0.850687841248457,0.355507587466453,0.150077315635308,-8.00106475851852,9.35687991490456,12.7418508972505,"3",NA,NA
"45","SB_mixedAge",0.999583320493903,"4",NA,0.462291902786633,0.763774611567967,0.0212614559081256,-8.02605403498556,15.119885561691,18.1022973778857,"4",NA,NA
"46","SB_mixedAge",0.993277758452179,"5",NA,0.867161822656616,0.336095531782572,0.0756063620511919,-8.60126673003442,10.2746707488664,16.0892334752592,"5",NA,NA
"47","SB_mixedAge",0.797108554757842,"6",NA,0.587154319504989,0.673149744834033,0.471899677836496,-11.7391696880126,-1.95189804142436,5.921492268867,"6",NA,NA
"48","SB_mixedAge",0.997264681741554,"7",NA,0.786444232631786,0.48915221785571,0.0553595188546188,-12.0847910027443,7.36707626848358,17.0720776559529,"7",NA,NA
"49","SB_mixedAge",0.99537874650504,"8",NA,0.744996085656258,0.571131882656414,0.0768852228103048,-8.82910149719927,8.65969910530864,15.6772526587286,"8",NA,NA
"50","SB_mixedAge",0.986628246070181,"9",NA,0.806531066395518,0.446670869446712,0.117429226190934,-11.9908909704952,3.420769675549,15.4793156430418,"9",NA,NA
"51","SB_mixedAge",0.999173768740352,"10",NA,0.804851732834413,0.477079182196086,0.0310426599477462,-11.2589041290509,8.63842424489434,18.1071340389005,"10",NA,NA
"52","SB_mixedAge",0.973409316526092,"11",NA,0.278780120748305,0.940409297337581,0.180570923793832,-13.2009793215158,-0.725823473824841,13.5390688974659,"11",NA,NA
"53","SB_mixedAge",0.966188679559979,"12",NA,0.472686340160249,0.822087047209685,0.20816818733214,-5.55215477135912,6.92290928246037,8.39684050581172,"12",NA,NA
"54","SB_mixedAge",0.999359498428571,"13",NA,0.215281427035929,0.983712469348152,0.0281042053700248,-5.57740233471617,11.8433651161648,15.7917007830016,"13",NA,NA
"55","SB_mixedAge",0.998498922049643,"14",NA,0.46402487164128,0.844760631230426,0.0447057072987248,-7.25634379004377,12.9387096548318,12.7114789622547,"14",NA,NA
"56","KRFC_ageStruc",0.9876,"all",NA,0.7816,20535.5768,4897.5844,-37.8904,-8.739,75.3412,"all",0.966066219296559,"Chinook Salmon"
"57","KRFC_Ntotal",0.567,"all",NA,0.23,61568.4689,46167.5761,-15.9291,-8.0981,6.838,"all",0.500000076493016,"Chinook Salmon"
"58","SB_ageStruc",0.6879,"all",NA,0.5955,40.692,35.7459,-162.6606,-143.4038,43.0942,"all",0.964883230844384,"Striped Bass"
"59","SB_Ntotal",0.7209,"all",NA,0.6232,164.3616,141.4574,-5.5352,4.3347,4.3836,"all",0.499999826518018,"Striped Bass"
